"category","reason","business_status","name","address","source_url","google_match_name","google_match_address","google_place_id","google_maps_url","moved_place_id"
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","敘杯Sobremesa","彰化縣彰化市旭光路221號","https://m.facebook.com/coffeesobremesa/?ref=bookmarks","敘杯Sobremesa","旭光路221號","ChIJf9xN0dQ5aTQR1d-qOn0Sps4","",""
"review","Google Places businessStatus = CLOSED_TEMPORARILY","CLOSED_TEMPORARILY","咪咖啡","彰化縣彰化市陳稜路189號之1號","https://www.facebook.com/micafeshop/","咪咖啡 Mi_cafe'外帶專門（5/23開始休息，會盡快滿血回歸）","189號之, No. 1陳稜路","ChIJPZz8-YQ5aTQRhEFMDwJto2M","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","二本咖啡-URBAN CAFE","彰化縣員林鎮南昌路119號","https://www.facebook.com/yuanlin.urbancafe/","二本咖啡Urban Cafe","南昌路119號","ChIJM7zEUF42aTQRt1573dePEO4","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","circus cafe 圓圈咖啡","彰化縣員林市員東路二段351巷1號","https://www.facebook.com/circusparkcafe/","Circus Cafe 圓圈咖啡","員東路二段351巷1號","ChIJH-0IB1o2aTQR7ZF-_775F-s","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","天外啡鮮","彰化縣秀水鄉彰水路二段321號","https://www.facebook.com/%E5%A4%A9%E5%A4%96%E5%95%A1%E9%AE%AE-%E6%89%8B%E4%BD%9C%E5%92%96%E5%95%A1%E8%B1%86%E5%B0%88%E9%96%80-815921811870373/","天外啡鮮","彰水路二段321號","ChIJrca5cXpIaTQR5TupcHQQKAg","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","美寶","彰化縣花壇鄉中正路186號","https://www.facebook.com/RubyCafe186/","美寶精品咖啡","中正路186號","ChIJO5aHihw4aTQRYkJ9D67YyoY","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","樂居咖啡","彰化縣員林市萬年路四段","https://www.facebook.com/lovestaycafe","樂居咖啡","510彰化縣員林市萬年路四段82號","ChIJbYgABFc2aTQRfZNqXsq7zjc","",""
"review","Google Places businessStatus = CLOSED_TEMPORARILY","CLOSED_TEMPORARILY","硬巷咖啡 Hard Ln, cafe'","510彰化縣員林市溝皂北三街70號","","HardLn Cafe","溝皂北三街70號","ChIJqwuzom83aTQRe8UMCp3VmjA","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","Sean's cafe享樂玩咖","500彰化縣彰化市長壽街157號","Sean's cafe享樂玩咖","Sean's cafe享樂玩咖","長壽街157號","ChIJnYubPbg4aTQRFiFYEkTB628","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","頂客來咖啡","彰化縣埤頭鄉文鄉南街103號","https://m.facebook.com/Dinkeleycafe","頂客來咖啡","文鄉南街103號","ChIJn3stZUBLaTQRumGKO1gU0Z4","",""
