"category","reason","business_status","name","address","source_url","google_match_name","google_match_address","google_place_id","google_maps_url","moved_place_id"
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","回春工作室","花蓮市光復街91-1號","https://www.facebook.com/回春工作室-850842031609095/","回春工作室","建國路75巷16弄26號","ChIJ2TsYcgmfaDQRjpd93J12nlI","",""
"review","Google Places businessStatus = CLOSED_TEMPORARILY","CLOSED_TEMPORARILY","花蓮秘密海咖啡","花蓮縣花蓮市海濱街66號","https://www.facebook.com/secretseacoffee/?fref=ts","秘密海小館","海濱街66號1樓","ChIJsU1rOeifaDQR56W01brD6xc","",""
"review","fetch failed","","安娜咖啡","花蓮市國聯5路137號","https://www.facebook.com/cafeanna","","","","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","亞瑟的王座","花蓮市中興路81號","https://www.facebook.com/arthursthrone","亞瑟的王座 AT Cafe","中興路81號","ChIJq_-gyCEhZjQRyJ6OmOUj_SM","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","斗宅。揀茶舍","花蓮市三民街23號(花蓮縣縣定古蹟檢察長宿舍)","https://www.facebook.com/ShibaInuCafeRoasters","咖逼小売所 ｜ 斗宅。揀茶舍","三民街23號","ChIJvyyCkVafaDQRafDuV1g5Gr0","",""
"review","Google Places businessStatus = CLOSED_TEMPORARILY","CLOSED_TEMPORARILY","小室集合空間","花蓮市有恆街3號","https://www.facebook.com/花蓮-咖啡-小室集合空間-1605452359481678","小室咖啡 花蓮總店","有恆街3號","ChIJr-LtlKOfaDQRyU1fEqJK_2o","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","咖啡舍 Seven Beans","花蓮市建林街132號","https://www.facebook.com/LeoSpaceCafeBar","咖啡舍（營業時間有臨時變動請搜尋臉書及IG)","建林街132號","ChIJkYAmhL6faDQRrC2AtGcLcxg","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","众咖啡","花蓮市中山路624號","https://www.facebook.com/peopleofcoffee","众蔬食3.0 - 心滿義足 People's Cafe（義大利主廚，正念素食(全素/蛋奶素） Italian Chef, Vegetarian and Vegan）","中山路624號","ChIJZ5_7nbGfaDQRzm9WkUEB2KU","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","色香貓精品咖啡","花蓮市建國路75巷16弄19號","https://www.facebook.com/SHE.XIANG.MAO.COFFEE/?fref=ts","色香貓咖啡","建國路75巷16弄19號號","ChIJNz4E176faDQRnpvnzlokHFY","",""
"suspected_closed","Google matched a different active business at the same address","OPERATIONAL","Choco Choco 手工巧克力咖啡館","花蓮市忠孝街70號","http://choco2.com.tw/","Stroll散步咖啡","忠孝街70號","ChIJSZWJD76faDQR_0dySE8qs3s","",""
"suspected_closed","Google matched a different active business at the same address","OPERATIONAL","吉野精品咖啡烘焙室","970花蓮縣花蓮市成功街206號","https://www.coffeeman.com.tw/","吉野咖啡","成功街206號","ChIJ5yt3LeufaDQRGfUEVg_Us04","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","波米咖啡","花蓮市民國路 45 號","https://www.facebook.com/Pommecafe/","波米咖啡館","2F, No. 581號和平路","ChIJB9fzcDmfaDQRBWA1M9VbccE","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","珈琲鋪子 (咖啡鋪子)","花蓮市節約街8號","https://www.facebook.com/gabepuze","珈琲舖子(咖啡舖子)","節約街8號","ChIJeRybDMCfaDQRvsjS_5FO1Vw","",""
"review","Google Places businessStatus = CLOSED_TEMPORARILY","CLOSED_TEMPORARILY","Koukouvagia 咕咕發芽咖啡驛棧","花蓮縣玉里鎮大同路58號","https://www.facebook.com/koukouvagiacafe/","Koukouvagia 咕咕發芽咖啡驛棧","大同路58號","ChIJAWylgWRqbzQRgdv-FT89I2o","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","月荷塘鄉村廚房","花蓮縣富里鄉983花蓮縣富里鄉羅山村東湖39號","https://www.facebook.com/lsmoon39/","月荷塘鄉村廚房","983台灣花蓮縣富里鄉","ChIJhwNSKThtbzQRF86UBteeXV0","",""
"review","Google Places businessStatus = CLOSED_TEMPORARILY","CLOSED_TEMPORARILY","斗。宅商社 Cafe & Bar","花蓮市福建街460號 (鐵道文化園區二館內)","https://www.facebook.com/Shibainu159.7","花聲客廳（咖啡&酒吧&週末現場演出）","福建街460號","ChIJG0Ns5hCfaDQRPb_Cyv2ywZI","",""
