"category","reason","business_status","name","address","source_url","google_match_name","google_match_address","google_place_id","google_maps_url","moved_place_id"
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","Cuiqu Coffee(奎克咖啡)","高雄市鼓山區博愛二路236號","https://www.facebook.com/cuiqucoffee/","奎克咖啡 Cuiqu Coffee","博愛二路236號","ChIJ-X57gAEFbjQRHHV3g2cme2I","",""
"review","Google Places businessStatus = CLOSED_TEMPORARILY","CLOSED_TEMPORARILY","溫柔實驗室","高雄市鹽埕區大公路62號","","溫柔實驗室","大公路62號","ChIJRVEitP4FbjQRMa-7rEY22c0","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","INBAR 日日誌","高雄市苓雅區海邊路105號","https://instagram.com/inbar_kaohsiung?igshid=N2x3cGVnY3docnE=","日日誌 IN BAR","海邊路105號","ChIJIe2CzngEbjQR3ZAospKF0Nc","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","Pure Black Coffee","高雄市左營區至聖路14號","","Pure Black Coffee ·現烘咖啡豆·耳掛包","813高雄市左營區文康路145號8樓","ChIJa0Bc4xwFbjQR8mbl7fhzTKw","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","Petite Cafe 波醍精品咖啡館 大立百貨店","80148高雄市前金區五福三路59號B館大立百貨","www.petitecafe.com.tw","就是黑咖啡","五福三路59號B館大立百貨五樓","ChIJC48JuFMFbjQRorqgLYChUHU","",""
"review","Google Places businessStatus = CLOSED_TEMPORARILY","CLOSED_TEMPORARILY","KSL Coffee","高雄市鳳山區青年路二段167號","https://www.facebook.com/Kslcoffee/","KSL Coffee＊整修中，暫停營業","青年路二段167號","ChIJVRA1cDEbbjQRR_XKtVK8gXU","",""
"review","Google Places businessStatus = CLOSED_TEMPORARILY","CLOSED_TEMPORARILY","Hu's Coffee 誰的咖啡","826高雄市梓官區赤崁西路24號","https://www.facebook.com/huscoffeee/","已搬家-Hu's Coffee 誰的咖啡 -最新資訊請看粉專、IG","赤崁西路24號","ChIJV-IWZmsJbjQRRtOwvVKocJE","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","季洋莊園咖啡隨行吧民族店","高雄市新興區民族二路65-1號","https://www.facebook.com/pages/%E5%AD%A3%E6%B4%8B%E8%8E%8A%E5%9C%92%E5%92%96%E5%95%A1%E9%9A%A8%E8%A1%8C%E5%90%A7%E6%B0%91%E6%97%8F%E5%BA%97/192027707635318?ref=stream","季洋莊園咖啡隨行吧民族店","民族二路65-1號","ChIJbVdSvJMEbjQR0xOUPcVC6uw","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","聽見花開咖啡館 ","高雄市楠梓區土庫路283號","","悟8庫商行/精品咖啡/酵素 共振淨水系統（無餐點）","土庫路283號","ChIJTUf3wjIObjQRPQGu5TvI90M","",""
"review","Google Places businessStatus = CLOSED_TEMPORARILY","CLOSED_TEMPORARILY","Grace Café 典．咖啡 Love．Story．Coffee","802高雄市苓雅區仁智街4號","https://m.facebook.com/gracecafe0507","Grace Café 典．咖啡 Love．Story．Coffee","仁智街4號","ChIJV_lnIwcDbjQRmzXq6nMR6pc","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","核桃栗栗珈琲屋","81359高雄市左營區辛亥路43號","https://facebook.com/kurumicafe","核桃栗栗珈琲屋（預約制咖啡廳） Kuri & Kurumi Cafè","辛亥路43號1","ChIJOUn0sRwFbjQRKS6kJo-F7UI","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","Michel Coffee Beans","807高雄市三民區民族一路617號","","MICHEL COFFEE","民族一路617號","ChIJwU7KHBcFbjQRm6Ta5UAVtu8","",""
"review","Google Places businessStatus = CLOSED_TEMPORARILY","CLOSED_TEMPORARILY","Bikecoffee - 拜克咖啡","高雄市三民區林森一路345巷13號","https://www.facebook.com/Bikecoffee-%E6%8B%9C%E5%85%8B%E5%92%96%E5%95%A1-142406032633950/","Bikecoffee - 拜克咖啡","林森一路345巷13號","ChIJ6RRSDfMEbjQR36lJUXPoXgw","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","大呆咖啡","高雄市苓雅區和平一路36巷42-1號","https://www.facebook.com/bigstupidbird","大呆咖啡—備長炭直火烘焙工作室","和平一路36巷42-1號","ChIJQw4r-owFbjQRjbhIRw-9kLg","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","想享咖啡茶屋","高雄市三民區鼎中路639號","","想享咖啡茶屋","鼎中路639號","ChIJRc2rBS4FbjQRFFZhWZ9kzDs","",""
"review","Google Places businessStatus = CLOSED_TEMPORARILY","CLOSED_TEMPORARILY","好意外咖啡","高雄市左營區文上路38號","https://www.facebook.com/SerendipityCoffeeRoasters/?fref=ts","MEDIUM & CO. 質介社会 • Café & Bistro","文上路38號","ChIJD6AM5AgFbjQR_o9sRIsn6Q0","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","善廸花廚","高雄市鼓山區青海路278號","https://www.facebook.com/SHANDIROSEMEAL/","善廸花廚","青海路278號","ChIJV2_6C1AEbjQRCGvdlx-jBKU","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","My cofi 哈瑪星","高雄市鼓山區鼓元街57號1樓 高雄市","","My Cofi 哈瑪星","鼓元街57號","ChIJ91X3ol8DbjQRomBLhavWLRU","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","樂邦客","高雄市新興區錦田路11號","https://www.facebook.com/THEBONCO2017/","樂邦客","錦田路11號","ChIJZRgl91MEbjQRAg2JPb9S2_M","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","百瓦哥咖啡（民生店）","高雄市新興區民生一路15號","https://www.facebook.com/百瓦哥咖啡-Baiwago-Plus-Cafe-高雄民生店-376194262744519/","百瓦哥咖啡 民生店","民生一路15號","ChIJO5z1P5EEbjQRd89jZfvpQUk","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","日沐咖啡","高雄市苓雅區凱旋三路619號","https://www.facebook.com/rimoocafe/","日沐咖啡","凱旋三路619號","ChIJOZGKAqQEbjQRRRbTpYQgok8","",""
"review","Google Places businessStatus = CLOSED_TEMPORARILY","CLOSED_TEMPORARILY","芝咖啡","高雄市左營區明誠二路265號","","芝咖啡","明誠二路265號","ChIJHVGry_8EbjQRfoCxwBi-K24","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","鐵塔咖啡 Tower Cafe","高雄市三民區同盟三路198號","https://www.facebook.com/jtowercafe/","鐵塔咖啡","807高雄市三民區同盟三路198號807","ChIJn4Q8hGgEbjQRQxtJw-HzqOQ","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","愚度咖啡 udu café","高雄市苓雅區憲治路2號","","愚度咖啡 udu café","憲治路2號","ChIJ1YbJAOEFbjQRq7u_AE_Vhtg","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","Café De Lecture","高雄市前鎮區忠勤路8號2F","https://www.facebook.com/MLDtailu/","黑浮咖啡","忠勤路8號","ChIJSywjj0MDbjQRdAZKl5mjVEU","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","季洋咖啡隨行吧楠梓店","高雄市楠梓區藍昌路351號","","季洋莊園咖啡隨行吧 楠梓門市","藍昌路351號","ChIJrSj8enMPbjQR-HWoQXrf9wE","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","612號月光海洋咖啡館","高雄市三民區明賢街67號","https://www.facebook.com/612cafe/","小本X612","明賢街67號","ChIJ463WeBwFbjQR7ddQtqivdb4","",""
