"category","reason","business_status","name","address","source_url","google_match_name","google_match_address","google_place_id","google_maps_url","moved_place_id"
"review","Google Places businessStatus = CLOSED_TEMPORARILY","CLOSED_TEMPORARILY","「像極了愛情」人文共享空間","基隆市中正區北寧路2號，海洋大學學生活動中心1F，貴族世家隔壁","https://bit.ly/3eTre7s","像極了愛情·人文共享空間·甜點·咖啡·無酒精調飲·自家手作甜點·海大甜點","北寧路2號海洋大學學生活動中心1F","ChIJmS_jN4VPXTQRFkY3ZD7aktc","",""
"suspected_closed","Google matched a different active business at the same address","OPERATIONAL","Mr Bean & A Fei 豆豆先生與他的阿肥","基隆市安樂區安和一街330巷5-3號","https://www.facebook.com/mrbeancoffee.tw","Bean ＆ Fei 豆豆先生與他的阿肥｜商用咖啡供應商 國際咖啡品鑑師品牌","安和一街330巷5-3號","ChIJb-R1HDlPXTQRhYoHQhZna18","",""
"review","Google Places businessStatus = CLOSED_TEMPORARILY","CLOSED_TEMPORARILY","像極了愛情｜人文共享空間","基隆市中正區北寧路2號_海大學生活動中心1F(貴族世家牛排/右手邊隔壁)","https://www.facebook.com/JustLikeLove/","像極了愛情·人文共享空間·甜點·咖啡·無酒精調飲·自家手作甜點·海大甜點","北寧路2號海洋大學學生活動中心1F","ChIJmS_jN4VPXTQRFkY3ZD7aktc","",""
"review","Google Places businessStatus = CLOSED_TEMPORARILY","CLOSED_TEMPORARILY","SOH Espresso Cafe","基隆市劉銘傳路6巷24號","https://www.facebook.com/sohespresso/","SOH Espresso Cafe","劉銘傳路6巷24號","ChIJWQ7wITlOXTQRquD1EE9s5x8","",""
"review","Google Places businessStatus = CLOSED_TEMPORARILY","CLOSED_TEMPORARILY","FLOW CAFE","東信路35巷4號1樓","https://www.facebook.com/flowcafetw/","FLOW CAFE","200基隆市仁愛區忠二路68號2樓","ChIJwUDkX4pPXTQRIIHZIjYgRls","",""
"review","No Google Places candidate found","","Kai Jie Huang","Zhuanyao Rd.","","","","","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","Homerun Roasters","200基隆市仁愛區仁二路82號","https://www.google.com.tw/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwi4rM768LvSAhVGKpQKHdwbCV4QFggaMAA&url=https%3A%2F%2Fzh-tw.facebook.com%2Fhomerunroasters%2F&usg=AFQjCNGMuBRmxswiWdcjVOAdSsbbyZuD1g&sig2=Gei5oWSaVHTy8cjb3aNIaQ","Homerun Roasters.J 紅朗咖啡｜最後營業日12/14 ｜寵物友善(五六日限量販售飯類餐點）","仁二路82號","ChIJ7-B4qZBPXTQR9VtwklR2nE0","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","丸角後院 MaruCorner Coffee Stage & Bar","200基隆市仁愛區孝一路23巷5弄13號","","丸角後院 MaruCorner Coffee Stage & Bar","23巷5弄, No. 13孝一路","ChIJDbcR0hVOXTQRpR5G7_yNIhw","",""
"suspected_closed","Google matched a different active business at the same address","OPERATIONAL","丸角@自轉生活.咖啡 ","基隆市孝二路28號","https://www.facebook.com/Cafe.de.MaruCorner/","MaruCorner Cafe","孝二路28號","ChIJf8RALRROXTQRStlTPxkaolI","",""
"review","Google Places businessStatus = CLOSED_TEMPORARILY","CLOSED_TEMPORARILY","語水工作室","202基隆市中正區正豐街35號2樓","","語水工作室","正豐街35號2樓","ChIJ4-itWMpPXTQR1BeWmWI0cLo","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","圖們｜咖啡公寓 TUMAN Coffee APT","202基隆市中正區信四路27號","","圖們｜咖啡公寓 TUMAN Coffee APT","信四路27號","ChIJkQh7xe5PXTQRILXCnROQGq8","",""
"review","Google Places businessStatus = CLOSED_TEMPORARILY","CLOSED_TEMPORARILY","行者咖啡館","基隆市仁愛區愛二路45號3樓","","行者咖啡館","愛二路45號3 樓","ChIJe6qRiBVOXTQRUqRranT5HJ4","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","WINTER SUN冬煦商行","202基隆市中正區祥豐街481號","https://www.facebook.com/profile.php?id=100082974986833","已歇業- 冬煦餐桌 / 冬煦商行","202基隆市中正區信四路2-2號3樓","ChIJM-zF4k9PXTQRUtT0nHjdwhY","",""
