"category","reason","business_status","name","address","source_url","google_match_name","google_match_address","google_place_id","google_maps_url","moved_place_id"
"review","Google Places businessStatus = CLOSED_TEMPORARILY","CLOSED_TEMPORARILY","findcoffee 找咖啡","台南市佳里區平等街183號","https://www.facebook.com/findcoffee183/","找咖啡 (不定時公休，詳細請看FB專頁)","平等街183號","ChIJ2TNIprR4bjQRUMF7HG5OoiE","",""
"suspected_closed","Google matched a different active business at the same address","OPERATIONAL","頑童主義咖啡Stand-Up Shop","70245台南市南區西門路一段269號","","DasKind頑童主義咖啡","西門路一段269號","ChIJr-le8fF3bjQRf3tVzgt8mms","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY"," 1982 de glacée 法式冰淇淋","700台灣台南市中西區永福路一段68巷9號","https://www.facebook.com/pg/1982eco/about/?ref=page_internal","1982 de glacée 法式冰淇淋","永福路一段68巷9號1樓","ChIJA0JNFHx2bjQRrTlEApZmHGs","",""
"suspected_closed","Google matched a different active business at the same address","OPERATIONAL","路易莎咖啡永康分店","台南市永康區中華二路365號","https://www.facebook.com/%E8%B7%AF%E6%98%93%E8%8E%8ELouisa-coffee%E4%B9%8B%E5%8F%B0%E5%8D%97%E6%B0%B8%E5%BA%B7%E5%BA%97-117941595272468/","Louisa Coffee 路易莎咖啡(台南永康門市)","中華二路365號","ChIJ6QpO79x2bjQR4WYEjdR5gk4","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","街頭咖啡Street Cafe 民生店 ","台南市中西區新美街7號","","街頭咖啡 Street Cafe 民生店 中西區 咖啡","新美街7號","ChIJ14yxhGN2bjQRjDSRX37kJjI","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","Bobosa Coffee","台南市北區小東路321號","https://www.facebook.com/bobosa.coffee.tainan.com.tw/","Bobosa Coffee","小東路321號","ChIJiZ8_psF2bjQREyws05mDpho","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","虫二咖啡","台南市東區長榮路一段101號","","where café 大眾建築講座及大人的畫畫課持續舉辦","長榮路一段101號紅色拱門兩邊樓梯走下來就可以看到我們B1樓","ChIJAX0JRpt2bjQR-aOiLXeXKEg","",""
"suspected_closed","Google matched a different active business at the same address","OPERATIONAL","歐塔克ottag caf'e手作烘焙咖啡館","台南市安平區華平路726號","","歐塔克手作咖啡烘焙館","華平路726號","ChIJx_VshxF2bjQRdemuWSoNsO0","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","金鑛咖啡台南永華店","台南市永華路一段301號","","金鑛咖啡 台南永華門市","永華路一段301號","ChIJVSOiUnF2bjQR-6vEgp00AYw","",""
"suspected_closed","Google matched a different active business at the same address","OPERATIONAL","月光咖啡廳","台南巿東區崇明路405號2樓","","里仁-台南崇明店","崇明路405號","ChIJ42hH6CB0bjQRIFnTDSznrzM","",""
"review","No Google Places candidate found","","Caf'e Duet","台南市健康路一段113巷66號","https://www.facebook.com/cafeduet/","","","","",""
