"category","reason","business_status","name","address","source_url","google_match_name","google_match_address","google_place_id","google_maps_url","moved_place_id"
"review","Nearby Search denied: API keys with referer restrictions cannot be used with this API.","","蜂巢咖啡","新北市永和區永貞路214號","https://www.facebook.com/honeycombcafe2016/","","","","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","(暫停營業) The Kaffa Lovers","台北市中正區金山北路3號","https://www.facebook.com/thekaffalovers/?fref=ts","The Kaffa Lovers","金山北路3號","ChIJjSuRT3upQjQRXIyzGFRdWIA","https://maps.google.com/?cid=9248244450578369628&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",""
"review","Nearby Search denied: API keys with referer restrictions cannot be used with this API.","","一杯咖啡士林店","台北市士林區中山北路五段505巷36號","https://www.facebook.com/acupofcoffeeshilin/","","","","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","良食究好市集餐廳WONMI","台北市八德路四段138號 (京華城 Living Mall 10 F) ","http://www.wonmi.com.tw/home.php","良食究好市集餐廳","八德路四段138號10F","ChIJp3ENeZWrQjQRleFo0-c6ohs","https://maps.google.com/?cid=1991218752609902997&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",""
"review","Nearby Search denied: API keys with referer restrictions cannot be used with this API.","","Olivia Coffee Roaster","106, Taipei City, Da’an District, 光復南路346巷50號台灣","","","","","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","艸地掛","新北市汐止區建成路178巷6號1樓","https://www.facebook.com/caffeterrataipei/?modal=admin_todo_tour","艸地掛 咖啡 植物 手作 Caffè Terra","建成路178巷6號1樓","ChIJVyORXDVTXTQRHWf3qdAN7Q8","https://maps.google.com/?cid=1147588669905266461&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","邦客思精品咖啡","新北市新店區中興路二段51號","https://www.facebook.com/bankers.coffee/","邦客思精品咖啡 Bankers Coffee｜烘焙體驗 • 拉花體驗","231新北市新店區中興路二段51號","ChIJ40kAJ1EBaDQRMVKSmm7yhtk","https://maps.google.com/?cid=15674482109963194929&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",""
"review","Nearby Search denied: API keys with referer restrictions cannot be used with this API.","","安提.司朵","台北市內湖區成功路五段402號","","","","","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","窩心房Sweet-Art Coffee","新北市新莊區昌平街59巷9號1 樓","https://www.facebook.com/%E7%AA%A9%E5%BF%83-%E6%88%BF-Sweet-Art-Coffee-1685060255122933/","窩心房Sweet-Art Coffee","昌平街59巷9號1 樓","ChIJGe_qd4eoQjQRvbnHW9rfJnE","https://maps.google.com/?cid=8153450304336542141&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",""
"review","Nearby Search denied: API keys with referer restrictions cannot be used with this API.","","Cafe Fundoor 咖啡方桌","台北市大安區大安路二段55號","https://www.facebook.com/CafeFundoor/","","","","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","WeiCoffee.","台北市中山區四平街89號","","忘憂站·咖啡 - WeiCoffee.","四平街89號","ChIJz0FYjzipQjQRY9gYsMxWm_U","https://maps.google.com/?cid=17697834597810231395&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","BRICK WORKS TAIPEI (花博店)","台北市中山區玉門街1號(MAJI市場廣場S17專櫃)","","Brick Works 樂高餐廳","玉門街1號","ChIJqY40N0-pQjQR9OQq-5Bs3nI","https://maps.google.com/?cid=8277172535098533108&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","Amandier cafe 雅蒙蒂創意飲食 新生店","台北市中山區新生北路一段66號","https://amandier-cafe.business.site/","Amandier cafe - 雅蒙蒂創意飲食 新生店","新生北路一段66號","ChIJExkckGSpQjQR32jN82H2aGo","https://maps.google.com/?cid=7667649266160855263&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","A8 Café & Gallery","台北市大安區和平東路三段67巷8號","https://www.facebook.com/pages/category/Restaurant/A8-Cafe-310092842359876/","A8 Café & Gallery","和平東路三段67巷8號","ChIJwcvuGzKqQjQRBf7G2rVwtbw","https://maps.google.com/?cid=13597898576276946437&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","Coffee Buff","台北市中山區大直街62巷8號","https://www.facebook.com/pg/coffeebuff.TW/about/?ref=page_internal","Coffee Buff","大直街62巷8號","ChIJrzKlJgWsQjQR_2zgQKPtg08","https://maps.google.com/?cid=5729684436369304831&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","威尼斯現烘咖啡","新北市板橋區互助街5號","https://www.facebook.com/venicecoffee2018/","威尼斯咖啡","220新北市板橋區南雅東路20-1號","ChIJ7XBg62CpQjQRLfvVNbQuEgE","https://maps.google.com/?cid=77175495150926637&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","職藝咖啡","新北市林口區文化一路一段228號","https://www.facebook.com/jhihyicafe/?modal=admin_todo_tour","職藝咖啡","244新北市林口區文化北路一段58號1樓","ChIJncxMIDenQjQRgwK0p7dwN5c","https://maps.google.com/?cid=10896301757541122691&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","胖豆恋 SWEET CAFE","台北市大同區長安西路190號","","胖豆恋 SWEET CAFE","長安西路190號","ChIJQwik3dqrQjQRRNYo2I1dgtE","https://maps.google.com/?cid=15096731764697650756&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","Instil coffee dimension","台北市大安區復興南路二段78巷2號地下","","Instil Coffee Dimension","號地下, 2復興南路二段78巷","ChIJAUtcVB6rQjQRYgtn7AoMBm0","https://maps.google.com/?cid=7855979841049791330&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","Balcony 陽台 Café","台北市中山區大直街34巷20號2F","https://www.facebook.com/balconycafe2F/","Balcony Cafe陽台咖啡","大直街34巷20號2樓","ChIJs1htAgWsQjQRp9VJET9301o","https://maps.google.com/?cid=6544705796256159143&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","喬安拾豆咖啡 Gian 6 degrees Coffee","台北市大安區復興南路一段279巷28號","https://www.facebook.com/6degress/","喬安拾豆咖啡","復興南路一段279巷28號","ChIJ7_G2z9OrQjQR-yNUjsZxzuw","https://maps.google.com/?cid=17063701135758730235&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","虹喬咖啡","台北市大同區庫倫街48號","https://www.facebook.com/pages/%E8%99%B9%E5%96%AC%E5%92%96%E5%95%A1/112968785446880","虹喬咖啡","庫倫街48號-1號","ChIJR-DgHUmpQjQRxmcR6uwf3gU","https://maps.google.com/?cid=422810517419157446&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",""
"review","Nearby Search denied: API keys with referer restrictions cannot be used with this API.","","19烘豆研究室","台北市松山區民生東路五段175之1號","https://www.facebook.com/pg/19coffeeroastinglab/about/?ref=page_internal","","","","",""
