"category","reason","business_status","name","address","source_url","google_match_name","google_match_address","google_place_id","google_maps_url","moved_place_id"
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","4.5公里咖啡","台東縣池上鄉3鄰33號","","4.5公里咖啡","3鄰33號","ChIJ_-TGh3QLbzQRCGL18COapyo","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","洛恩米薩克 Roen Misak","959台東縣東河鄉號","","洛恩米薩克 Roen Misak","959臺東縣東河鄉號","ChIJQUR2iO-ibzQRpU1s2iwxwyM","",""
"suspected_closed","Google matched a different active business at the same address","OPERATIONAL","蘭嶼海很藍咖啡","台東蘭嶼鄉紅頭村4號","https://www.facebook.com/filmbluecafe/about/?ref=page_internal&locale=zh_TW","海很藍咖啡/手作選物","紅頭4號","ChIJ_____0AJcDQR6leWtmPBpDI","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","石在有人咖啡館","台東縣綠島鄉公館村60號","https://www.facebook.com/TheReefsCafe60/","石在有人咖啡館","60號","ChIJ28ZI07KNbzQR1IWxFYoGM28","",""
"suspected_closed","Google matched a different active business at the same address","OPERATIONAL","墾墨咖啡館","台東市更生路1208號","https://www.facebook.com/communitytaitung/","墾墨咖啡 Community Cafe'（Last Order 17:00)","更生路1208號","ChIJ9Z2UBnm5bzQR1xN0aERJF7I","",""
"suspected_closed","Google matched a different active business at the same address","OPERATIONAL","Wow’s邦查（波浪屋2號倉庫）","台東縣新生路105號","https://www.facebook.com/Wowspangcha/","台東波浪屋-原民文創產業聚落 TTstyle Arts & Crafts-Wavy Roof Crafts","新生路105號","ChIJLeAZ5xW5bzQRdwkrQJN7xPk","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","默默珈琲手沖館","台東縣池上鄉中華路61號","沒有, 但在GoogleMap上可找到","默默珈琲手沖館 (租約到期囉~房東收回自用~The rent is due, see ya somewhere! Thanks all!)","中華路61號","ChIJQ3oC7loNbzQR27XmktbaqTU","",""
"suspected_closed","Google matched a different active business at the same address","OPERATIONAL","Coffeeloft-咖啡工寓","台東市浙江路36號","https://www.facebook.com/coffeeloftapartment/?fref=ts","咖啡工寓｜台東民宿1569號 咖啡店固定週二店休","浙江路36號","ChIJ09NnNEC5bzQRLCt2axHt8_4","",""
"suspected_closed","Google matched a different active business at the same address","OPERATIONAL","友蛇咖啡","台東市岩灣路298號","https://www.facebook.com/profile.php?id=100089101092965","Snake Cafe","岩灣路298號","ChIJqbngCW67bzQRtcACLUSEI0g","",""
"suspected_closed","Google matched a different active business at the same address","OPERATIONAL","佐佑品有機咖啡莊園","963台東縣太麻里乡太麻里鄉89之1號","","佐佑品咖啡","963臺東縣太麻里鄉89之1號","ChIJdf3wGWbJbzQR7u8eCHQTdZM","",""
"suspected_closed","Google matched a different active business at the same address","OPERATIONAL","山木咖啡","台東市中華路四段99號","https://www.facebook.com/sunmoon0201/","山木 SunMoon","中華路四段99號","ChIJQybbQw65bzQRq9DJ6nZzwGw","",""
