"category","reason","business_status","name","address","source_url","google_match_name","google_match_address","google_place_id","google_maps_url","moved_place_id"
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","BeYou.té Café","桃園市中壢區文化二路267號","https://www.facebook.com/BeYouteCafe/","BeYou.té Café咖啡館","文化二路267號","ChIJJTRSrfAhaDQRrLja7kvYMMY","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","R9 Cafe 桃園店","桃園市桃園區民生路55巷8號","","R9 Cafe 桃園店","民生路55巷8號","ChIJ59Sw3FQeaDQRp3RlXoIejTY","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","流石咖啡","桃園市中壢區福州二街412-1號","https://www.facebook.com/pg/cafe.sasuga","流石LS+D/早午餐/全日餐/餐酒館","福州二街412-1號","ChIJI2fzvVAjaDQRpEMw1WqmHNM","",""
"suspected_closed","Google matched a different active business at the same address","OPERATIONAL","香草蛋糕舖 Vanilla Pastry House","桃園市桃園區民族路193號","https://www.facebook.com/vanilla193/","香草蛋糕舖 民族總店","民族路193號","ChIJv2QiewIfaDQRcIK--0rz3H0","",""
"suspected_closed","Google matched a different active business at the same address","OPERATIONAL","George's coffee","桃園市中壢區民權路150號","https://www.facebook.com/ACID7-coffee-109876450746708/","喬治的咖啡","民權路150號","ChIJxbiJy2gjaDQR9F97UeTIoZw","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","福森咖啡-大溪店","桃園市大溪區登龍路18號","https://www.facebook.com/fussencafe/","花森早午餐咖啡","登龍路18號","ChIJgeHc7SEYaDQRDjTWRjaLkfs","",""
"review","Google Places businessStatus = CLOSED_TEMPORARILY","CLOSED_TEMPORARILY","山錡咖啡","326桃園市楊梅區萬大路14號","","山錡咖啡","萬大路14號","ChIJURpd0VAjaDQR2q1X7abZE10","",""
"review","Google Places businessStatus = CLOSED_TEMPORARILY","CLOSED_TEMPORARILY","Flowering 綻放咖啡","桃園市萬壽路二段1427號","https://www.floweringty.com/","Flowering 綻放果凍花 | 天然果汁在蒟蒻裡綻放","萬壽路二段1427號1樓","ChIJj4E1wBQfaDQRWVo4AumRerU","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","晴天咖啡 sunny cafe","桃園市中壢區中北路165巷61號","https://www.facebook.com/320sunnycafe/","晴天咖啡sunny cafe","中北路165巷61號","ChIJM7utIzsjaDQRlJBREJa1ixY","",""
"suspected_closed","Google matched a different active business at the same address","OPERATIONAL","Table No.2","台灣桃園市中壢區興平路163號號","","Table 2 Coffee Roaster","320桃園市中壢區興平路165號","ChIJ7d0uDjAiaDQRv7ebfU5vQOg","",""
"review","Google Places businessStatus = CLOSED_TEMPORARILY","CLOSED_TEMPORARILY","木木秧咖啡","桃園市大溪區慈光街128號","","木木秧咖啡","慈光街128號","ChIJq-qc-GwYaDQRKbfINT82G_E","",""
"suspected_closed","Google matched a different active business at the same address","OPERATIONAL","J café","桃園區力行路255巷2號","","植感森活 HØST | 健康蔬食義大利麵-桃園健康蔬食|健康餐盒|低卡餐盒|低卡美食|溫沙拉推薦|蔬菜沙拉|蔬食餐盒|蔬食料理","330桃園市桃園區力行路255巷2號","ChIJz1WapgEfaDQRvR83E-RHnV8","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","Cafeholic coffee & bar","桃園市中壢區龍昌路26號號 1 樓","https://www.facebook.com/Cafeholic.coffee.bar/","Cafeholic coffee & bar (時間及店休以IG,FB為主）","龍昌路26號","ChIJl-_H7W8iaDQR7QiAPqQUSVs","",""
"suspected_closed","Google matched a different active business at the same address","OPERATIONAL","Alpha Coffee & Tea","桃園市平鎮區工業五路8號","https://www.facebook.com/alphacoffeeandtea/","CAFE!N 硬咖啡 桃園總廠門市 (咖啡觀光工廠 )","工業五路8號","ChIJhZATXjQjaDQRED0CIY3tQCE","",""
"suspected_closed","Google matched a different active business at the same address","OPERATIONAL","杜宅咖啡","台中市南區五權南路468號","https://www.facebook.com/dou.zhai.homemade.roasted.cafe/","杜宅自家烘焙精品咖啡豆（無訂位服務）Dou Zhai Homemade Roasted Cafe","402012臺中市南區五權南路468號","ChIJrw6X8xsfaDQRAWvkKwyEe-M","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","JD cafe","桃園市龜山區興華三街6號","https://www.facebook.com/JDcafeJDcafe/","爵帝咖啡","興華三街6號","ChIJN82DSjinQjQRgIU0JaCeyV8","",""
"review","Google Places businessStatus = CLOSED_TEMPORARILY","CLOSED_TEMPORARILY","沐瑟咖啡","桃園市蘆竹區南平街31號","https://www.facebook.com/CAPO.CAFE.CAPO/?ref=aymt_homepage_panel","沐瑟咖啡 CAPO CAFE","號 No, No. 31南平街","ChIJ-1OwK98faDQRtA-E_omYm0E","",""
"suspected_closed","Google matched a different active business at the same address","OPERATIONAL","好咖 Howcup CURRY CAFE'","桃園市中壢區中北路19號","https://m.facebook.com/howcup/","好咖 Thai","中北路19號","ChIJwdYuEj8iaDQRUEvUDJg-4v0","",""
