"category","reason","business_status","name","address","source_url","google_match_name","google_match_address","google_place_id","google_maps_url","moved_place_id"
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","GOROGORO","宜蘭縣宜蘭市中山路二段187巷25號","http://gorogoro187.pixnet.net/blog","GOROGORO","中山路二段187巷25號","ChIJV0iSx8LkZzQRqngIeXPP5jA","",""
"suspected_closed","Google matched a different active business at the same address","OPERATIONAL","GK Coffee（平安居咖啡民宿）","宜蘭縣冬山鄉復興路166號","http://www.gkcoffee.com.tw","GK咖啡 + 平安居咖啡民宿","復興路166號","ChIJR5-o15bmZzQR0UrnyU7uU0o","",""
"suspected_closed","Google matched a different active business at the same address","OPERATIONAL","平安居民宿 + GK coffee自家烘焙咖啡","宜蘭縣冬山鄉復興路166號","","GK咖啡 + 平安居咖啡民宿","復興路166號","ChIJR5-o15bmZzQR0UrnyU7uU0o","",""
"suspected_closed","Google matched a different active business at the same address","OPERATIONAL","No.100咖啡隨行吧","265 宜蘭縣羅東鎮中正南路100號","https://www.facebook.com/NO.100cafe/","No.100 coffee shop","中正南路100號","ChIJu0W5rWTmZzQRwBoq6EoUSQA","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","HaoHaoKaffe(行口文旅店)","宜蘭縣宜蘭市康樂路14號","","HaoHaoKaffe 行口文旅店","康樂路14號一樓","ChIJmTySTNrkZzQRWGY5Yyh2OL4","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","合盛太平咖啡","宜蘭縣宜蘭市中山路三段145號","","飛魚食染-宜蘭店","26044宜蘭縣宜蘭市中山路三段145號","ChIJ1dytifnlZzQRWFNgf9_Fxbs","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","老房子咖啡","羅東鎮文化街53號","","校長宿舍-老房子咖啡","265宜蘭縣羅東鎮文化街53號","ChIJK4FSvXzmZzQR_KVd-MWjTiI","",""
"suspected_closed","Google matched a different active business at the same address","OPERATIONAL","香草景觀咖啡 Vanilla Cafe-宜蘭頭城店","宜蘭縣頭城鎮北宜路一段398號","","香草庭園咖啡 頭城店","北宜路一段398號","ChIJt9q8MvD5ZzQREQtGxfP5o2w","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","舒室咖啡","宜蘭市慈安路61號","https://www.facebook.com/ShuZoom/","舒室","260宜蘭縣宜蘭市慈安路61號","ChIJm2jgakrlZzQRmHnlV3KvS24","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","ZeraCafe 頭城站舍","宜蘭縣頭城鎮站舍巷1號","","頭城站舍","站舍巷1號","ChIJQ0VzMhr3ZzQRT5DrEv3mq2w","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","九號咖啡音樂廣場","宜蘭縣礁溪鄉溫泉路85號","https://www.facebook.com/NO9cofee/","九號咖啡音樂廣場","溫泉路1054號","ChIJC8xJOzb6ZzQRp4M6WdsOVbc","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","PonPon 乓乓雜貨咖啡","宜蘭縣礁溪鄉信義路71號","","PonPon 乓乓雜貨咖啡","信義路71號","ChIJG4rDzEv6ZzQRr3zmZ4Ab6uQ","",""
"suspected_closed","Google matched a different active business at the same address","OPERATIONAL","逸境 X 心境","宜蘭市七張路117號","","逸境咖啡","260宜蘭縣宜蘭市七張路117號","ChIJCR0BdDTlZzQRW45oF6i-B8o","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","日吉咖啡gooddaycafe'","宜蘭縣宜蘭市東港路59-11號","https://www.facebook.com/gooddayDBM/","日吉咖啡","東港路二段431號","ChIJdcrfttnkZzQRRw79T8ufABU","",""
"suspected_closed","Google matched a different active business at the same address","OPERATIONAL","Stay旅人書店","宜蘭市碧霞街14號、宜蘭市康樂路14號行口文旅","https://www.facebook.com/pg/staytravelerbookstore/about/?ref=page_internal","行口文旅","260宜蘭縣宜蘭市康樂路14號","ChIJmTySTNrkZzQR52rSedAL-UQ","",""
"suspected_closed","Google matched a different active business at the same address","OPERATIONAL","dew 36 綻露 coffee elite","宜蘭市女中路二段385號","https://www.facebook.com/dew36elite/","B Love hair salon","260宜蘭縣宜蘭市女中路二段385號","ChIJNWRby9DlZzQRTcWjcqK0RpE","",""
"suspected_closed","Google matched a different active business at the same address","OPERATIONAL","Aqua Cafe 水色咖啡","花蓮縣吉安鄉吉祥七街13號","","Aqua Cafe《水色咖啡》假日連假預約制（粉專預約勿留電話）","吉祥七街13號","ChIJSaL4CrOjaDQRs7uhq9BUMpY","",""
"suspected_closed","Google matched a different active business at the same address","OPERATIONAL","品品99 咖啡 輕食","268宜蘭縣五結鄉鎮安路63巷2號","","PP.99 CAFE (最後點餐15:00，星期二，三店休）最新資訊請看粉絲頁","鎮安路63巷2號","ChIJ9zjaWimqQjQREQMeNZYjenw","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","Resort Brew Coffee Co.","宜蘭市農權路二段30號","","resort.brew.coffee.co. 7/15最後營業","農權路二段30號","ChIJSW_7gunkZzQRuueWp018JQM","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","歐麟咖啡館","宜蘭市女中路二段389號1樓","https://www.facebook.com/oulincoffeeshop/","歐麟咖啡館","女中路二段389號1 樓","ChIJNXjj6ujkZzQRw0Z2vg5aKVE","",""
