"category","reason","business_status","name","address","source_url","google_match_name","google_match_address","google_place_id","google_maps_url","moved_place_id"
"review","Google Places businessStatus = CLOSED_TEMPORARILY","CLOSED_TEMPORARILY","禾子咖啡","宜蘭市農權路三段197巷1弄2號 Yilan City","https://www.facebook.com/hzcoffee/","禾子咖啡","農權路三段197巷1弄2號","ChIJNX6MOpTkZzQRTb3F-tQIGIs","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","GOROGORO","宜蘭縣宜蘭市中山路二段187巷25號","http://gorogoro187.pixnet.net/blog","GOROGORO","中山路二段187巷25號","ChIJV0iSx8LkZzQRqngIeXPP5jA","",""
"review","Google Places businessStatus = CLOSED_TEMPORARILY","CLOSED_TEMPORARILY","語後咖啡 Ameagari Cafe","宜蘭市延平路42巷6號","https://www.facebook.com/AmeagariCafe/","語後咖啡","延平路42巷6號","ChIJ7-LrbdjkZzQRM8U0tcF9Jso","",""
"review","Google Places businessStatus = CLOSED_TEMPORARILY","CLOSED_TEMPORARILY","郁見幸福","宜蘭市健康路二段117號","https://www.facebook.com/yubakingstudio/","郁見幸福Coffe&Cake","健康路二段117號","ChIJTefAM-jkZzQRiTwsG8AfGdI","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","HaoHaoKaffe(行口文旅店)","宜蘭縣宜蘭市康樂路14號","","HaoHaoKaffe 行口文旅店","康樂路14號一樓","ChIJmTySTNrkZzQRWGY5Yyh2OL4","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","合盛太平咖啡","宜蘭縣宜蘭市中山路三段145號","","飛魚食染-宜蘭店","26044宜蘭縣宜蘭市中山路三段145號","ChIJ1dytifnlZzQRWFNgf9_Fxbs","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","老房子咖啡","羅東鎮文化街53號","","校長宿舍-老房子咖啡","265宜蘭縣羅東鎮文化街53號","ChIJK4FSvXzmZzQR_KVd-MWjTiI","",""
"review","Google Places businessStatus = CLOSED_TEMPORARILY","CLOSED_TEMPORARILY","南澳好糧食堂 Good Eats Cafe","蘇澳鎮南澳路13-1號","https://www.facebook.com/goodeatscafe/","南澳好糧食堂","蘇花路二段326巷18號","ChIJlZo2fSnbZzQRZh9BLYDWwDM","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","舒室咖啡","宜蘭市慈安路61號","https://www.facebook.com/ShuZoom/","舒室","260宜蘭縣宜蘭市慈安路61號","ChIJm2jgakrlZzQRmHnlV3KvS24","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","ZeraCafe 頭城站舍","宜蘭縣頭城鎮站舍巷1號","","頭城站舍","站舍巷1號","ChIJQ0VzMhr3ZzQRT5DrEv3mq2w","",""
